# SITE INFORMATION TYPE = 1|STATE_CODE|STATE_NAME|COUNTY_CODE|COUNTY_NAME|SITE_ID|PARAMETER_CODE|PARAMETER_DESC|CITY_CODE|CITY_NAME|STREET_ADDRESS|AQCR_CODE|AQCR_NAME|CBSA_CODE|CBSA_NAME|CSA_CODE|CSA_NAME|EPA_REGION|UAR_CODE|UAR_NAME|LAND_USE|LOC_SET|LATITUDE|LONGITUDE|UTM_ZONE|UTM_NORTHING|UTM_EASTING|HORIZ_COLLECT|HORIZ_METHOD|HORIZ_DATUM|HORIZ_ACC|HORIZ_SCALE|ELEVATION_MSL|VERT_COLLECT|VERT_METHOD|VERT_DATUM|VERT_ACC
# DAILY VALUE TYPE = 2|STATE_CODE|COUNTY_CODE|SITE_ID|PARAMETER_CODE|UNITS|PRIMARY_MONITOR_POC|MONITOR_TYPE|PQAO|PQAO_NAME|SAMPLE_DATE|VALUE|SOURCE|EDT_ID
1|42|Pennsylvania|041|Cumberland|0101|88101|PM2.5 - Local Conditions|11272|Carlisle|IMPERIAL COURT|196|SOUTH CENTRAL PENNSYLVANIA|25420|Harrisburg-Carlisle, PA|276|Harrisburg-York-Lebanon, PA|03|||RESIDENTIAL|RURAL|40.246528|-77.18675||||015|GPS CODE (PSEUDO RANGE) PRECISE POSITION|WGS84|18.22|0|0|000|UNKNOWN|UNKNOWN|0
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140214|11.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140215|17.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140216|27.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140217|10.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140218|19.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140219|30.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140220|12.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140221|14.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140222|3.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140223|9.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140224|4.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140225|8.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140226|12.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140227|12.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140228|7.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140301|21.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140302|30.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140303|5.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140304|10.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140305|18.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140306|12.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140307|16.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140308|25.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140309|12.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140310|14.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140311|12.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140312|22.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140313|3.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140314|7.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140315|5.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140316|4.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140317|5.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140318|11.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140319|9.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140320|11.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140321|7.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140322|13.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140323|6.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140324|4.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140325|20.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140326|7.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140327|11.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140328|13.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140329|4.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140330|1.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140331|2.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140401|5.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140402|10.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140403|10.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140404|18.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140405|4.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140406|5.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140407|12.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140408|5.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140409|5.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140410|6.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140411|8.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140412|7.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140413|12.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140414|7.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140415|2.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140416|4.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140417|5.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140418|10.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140419|9.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140420|8.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140421|8.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140422|10.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140423|4.1|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140424|3.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140425|8.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140426|5.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140427|3.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140428|7.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140429|4.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140430|2.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140501|5.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140502|3.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140503|7.4|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140504|5.3|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140505|3.0|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140506|3.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140507|4.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140508|15.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140509|32.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140510|8.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140511|6.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140512|11.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140513|11.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140514|17.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140515|7.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140516|6.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140517|7.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140518|6.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140519|8.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140520|10.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140521|21.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140522|14.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140523|3.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140524|4.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140525|6.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140526|11.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140527|14.3|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140528|10.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140529|4.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140530|5.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140531|4.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140601|6.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140602|10.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140603|11.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140604|6.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140605|3.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140606|3.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140607|5.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140608|13.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140609|15.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140610|10.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140611|12.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140612|6.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140613|8.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140614|4.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140615|3.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140616|12.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140617|17.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140618|9.7|P|5
